label,review,review_,senti_words,sum,sum_senti_words
0,scorsese does n't give us a character worth giving a damn about,scorsese doe n't give u a character worth give a damn about,damn,12,1
0,the movie weighs no more than a glass of flat champagne,the movie weigh no more than a glass of flat champagne,flat,11,1
0,more precious than perspicacious,more precious than perspicacious,more precious perspicacious spic,4,4
0,"shatner is probably the funniest person in the film , which gives you an idea just how bad it was","shatner be probably the funniest person in the film , which give you an idea just how bad it wa",ably just how bad,20,4
0,so boring that even its target audience talked all the way through it,so bore that even it target audience talk all the way through it,even rough,13,2
0,"a disaster of a drama , saved only by its winged assailants","a disaster of a drama , save only by it wing assailant",assail,12,1
0,nearly every attempt at humor here is doa,nearly every attempt at humor here be doa,very attempt,8,2
1,"the film is small in scope , yet perfectly formed","the film be small in scope , yet perfectly form",small perfectly,10,2
1,a giggle inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar winners susan sarandon and goldie hawn,a giggle induce comedy with snappy dialogue and win performance by an unlikely team of oscar winner susan sarandon and goldie hawn,snappy like old,22,3
0,"i t 's certainly laudable that the movie deals with hot button issues in a comedic context , but barbershop is n't as funny as it should be","i t 's certainly laudable that the movie deal with hot button issue in a comedic context , but barbershop be n't a funny a it should be",certainly laud able hot funny,28,5
1,"dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement","dark , resonant , inventively detail and pack with fleet turn of plot and a feast of visual amazement",dark amazement,19,2
0,"although it tries to be much more , it 's really just another major league","although it try to be much more , it 's really just another major league",really just major,15,3
0,crummy,crummy,,1,0
0,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple espresso endurance challenge","with virtually no interest element for an audience to focus on , chelsea wall be a triple espresso endurance challenge",virtually focus,20,2
0,"blue crush follows the formula , but throws in too many conflicts to keep the story compelling","blue crush follow the formula , but throw in too many conflict to keep the story compel",blue low keep,17,3
0,observant intelligence constantly vies with pretension and sometimes plain wacky implausibility throughout maelstrom,observant intelligence constantly vie with pretension and sometimes plain wacky implausibility throughout maelstrom,observant constantly plain rough,13,4
0,"sheridan is painfully bad , a fourth rate jim carrey who does n't understand the difference between dumb fun and just plain dumb","sheridan be painfully bad , a fourth rate jim carrey who doe n't understand the difference between dumb fun and just plain dumb",painfully fully bad understand just plain,23,6
1,"a hard look at one man 's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of claude chabrol","a hard look at one man 's occupational angst and it subsequent reinvention , a terrify study of bourgeois desperation worthy of claude chabrol",hard pat worthy laud,24,4
1,"this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but ayres makes the right choices at every turn","this be the kind of subject matter that could so easily have be fumble by a lesser filmmaker , but ayres make the right choice at every turn",kind matter so easily right choice,28,6
1,catch it if you can !,catch it if you can !,,6,0
0,a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell,a period story about a catholic boy who try to help a jewish friend get into heaven by send the audience straight to hell,wish,24,1
0,novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama,novak contemplate a heartland so overwhelm by it lack of purpose that it seek excitement in manufacture high drama,cite high,19,2
0,"directed by kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut","direct by kevin bray , whose crisp frame , edgy camera work , and wholesale ineptitude with act , tone and pace very obviously mark him a a video helmer make his feature debut",dire crisp whole ace very obvious obviously sly,34,8
0,"sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff","sandra bullock , despite downplay her good look , carry a little too much ai n't she cute baggage into her lead role a a trouble and determine homicide cop to quite pull off the heavy stuff",good carry cute heavy,37,4
0,"i highly recommend irwin , but not in the way this film showcases him","i highly recommend irwin , but not in the way this film showcase him",highly commend,14,2
0,"a film of empty , fetishistic violence in which murder is casual and fun","a film of empty , fetishistic violence in which murder be casual and fun",empty casual,14,2
0,"slow , dry , poorly cast , but beautifully shot","slow , dry , poorly cast , but beautifully shoot",slow low dry poor beautifully,10,5
1,it ultimately stands forth as an important chronicle of the abuses of one of latin america 's most oppressive regimes,it ultimately stand forth a an important chronicle of the abuse of one of latin america 's most oppressive regime,stand for important abuse most oppressive,20,6
0,the cartoon is about as true to the spirit of the festival of lights as mr deeds was to that of frank capra,the cartoon be about a true to the spirit of the festival of light a mr deed wa to that of frank capra,true light frank,23,3
0,"it believes it 's revealing some great human truths , when , in reality , it 's churning ground that has long passed the point of being fertile","it belief it 's reveal some great human truth , when , in reality , it 's churn grind that ha long pass the point of be fertile",some great in reality real long pass fertile,28,8
1,"much credit must be given to the water camera operating team of don king , sonny miller , and michael stewart their work is fantastic","much credit must be give to the water camera operate team of don king , sonny miller , and michael stewart their work be fantastic",ill fantastic,25,2
1,a stylistic romp that 's always fun to watch,a stylistic romp that 's always fun to watch,,9,0
0,the sweetest thing leaves a bitter taste,the sweetest thing leaf a bitter taste,sweet thin bitter,7,3
1,deliciously mean spirited and wryly observant,deliciously mean spirit and wryly observant,deliciously sly mean observant,6,4
0,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle aged character","schaeffer ha to find some hook on which to hang his persistently useless movie , and it might a well be the resuscitation of the middle age character",persistently useless well citation,28,4
0,"an inexperienced director , mehta has much to learn","an inexperienced director , mehta ha much to learn",inexperienced experienced dire,9,3
0,"somehow we 're meant to buy that this doting mother would shun her kids , travel to one of the most dangerous parts of the world , don fatigues and become g i jane","somehow we 're mean to buy that this dot mother would shun her kid , travel to one of the most dangerous part of the world , don fatigue and become g i jane",mean most dangerous anger fat,34,5
1,"lauren ambrose comes alive under the attention from two strangers in town with honest performances and realistic interaction between the characters , this is a coming of age story with a twist","lauren ambrose come alive under the attention from two stranger in town with honest performance and realistic interaction between the character , this be a come of age story with a twist",strange anger honest realistic,32,4
0,troll the cult section of your local video store for the real deal,troll the cult section of your local video store for the real deal,your real,13,2
1,"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances","a i settle into my world war ii memory , i find myself strangely move by even the corniest and most hackneyed contrivance",set strangely even most hackneyed,23,5
0,"if you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash","if you value your time and money , find an escape clause and avoid see this trite , predictable rehash",value your void trite able,20,5
1,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes","a touch , sophisticate film that almost seem like a documentary in the way it capture an italian immigrant family on the brink of major change",like apt grant major change,26,5
0,"the gifted crudup has the perfect face to play a handsome blank yearning to find himself , and his cipherlike personality and bad behavior would play fine if the movie knew what to do with him","the gift crudup ha the perfect face to play a handsome blank yearn to find himself , and his cipherlike personality and bad behavior would play fine if the movie know what to do with him",perfect ace handsome some blank yearn like bad fine,36,9
0,this kiddie oriented stinker is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater,this kiddie orient stinker be so bad that i even catch the gum stick under my seat try to sneak out of the theater,stink so bad even,24,4
0,hollywood has taken quite a nosedive from alfred hitchcock 's imaginative flight to shyamalan 's self important summer fluff,hollywood ha take quite a nosedive from alfred hitchcock 's imaginative flight to shyamalan 's self important summer fluff,light shy important,19,3
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between","oedekerk mug mercilessly , and the genuinely funny joke be few and far between",mercilessly sly genuinely funny,14,4
0,apallingly absurd the chemistry or lack thereof between newton and wahlberg could turn an imax theater into a 9 black and white portable tv,apallingly absurd the chemistry or lack thereof between newton and wahlberg could turn an imax theater into a 9 black and white portable tv,absurd new black able,24,4
1,"marvelous , merry and , yes , melancholy film","marvelous , merry and , yes , melancholy film",marvelous merry yes melancholy holy,9,5
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace and love side of the '60s counterculture","it will probably prove interest to ram das fan , but to others it may feel like a parody of the mellow , peace and love side of the '60s counterculture",ill ably feel like like mellow low ace love,31,9
1,"though few will argue that it ranks with the best of herzog 's works , invincible shows he 's back in form , with an astoundingly rich film","though few will argue that it rank with the best of herzog 's work , invincible show he 's back in form , with an astoundingly rich film",ill best back rich,28,4
0,one of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms spears,one of the more glare sign of this movie 's servitude to it superstar be the way it skirt around any scene that might have require genuine act from m spear,super star round require genuine,31,5
0,"a perfect example of rancid , well intentioned , but shamelessly manipulative movie making","a perfect example of rancid , well intentioned , but shamelessly manipulative movie make",perfect ample rancid well intent sham sly,14,7
1,"majidi is an unconventional storyteller , capable of finding beauty in the most depressing places","majidi be an unconventional storyteller , capable of find beauty in the most depress place",unconventional conventional capable able beauty ace,15,6
0,"despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing","despite it dry wit and compassion , the film suffer from a philosophical emptiness and maddeningly sedate pace",dry pass philosophical maddening sedate ace,18,6
0,the film tries to touch on spousal abuse but veers off course and becomes just another revenge film,the film try to touch on spousal abuse but veer off course and become just another revenge film,abuse just even,18,3
0,kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business,kurys seem intimidate by both her subject matter and the period trap of this debut venture into the heritage business,timid matter venture,20,3
1,"saved from being merely way cool by a basic , credible compassion","save from be merely way cool by a basic , credible compassion",cool basic credible pass,12,4
0,"samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal","samira makhmalbaf 's new film blackboard be much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the think and reflection come through be torpid and banal",new black much like unfortunate fortunate thin rough torpid banal,36,10
1,i admired this work a lot,i admire this work a lot,admire,6,1
0,"the santa clause 2 is a barely adequate babysitter for older kids , but i 've got to give it thumbs down","the santa clause 2 be a barely adequate babysitter for older kid , but i 've get to give it thumb down",barely old,22,2
1,"if lilo stitch is n't the most edgy piece of disney animation to hit the silver screen , then this first film to use a watercolor background since dumbo certainly ranks as the most original in years","if lilo stitch be n't the most edgy piece of disney animation to hit the silver screen , then this first film to use a watercolor background since dumbo certainly rank a the most original in year",first back round certainly original,37,5
0,"an acceptable way to pass a little over an hour with moviegoers ages 8 10 , but it 's unlikely to inspire anything more than a visit to mcdonald 's , let alone some savvy street activism","an acceptable way to pas a little over an hour with moviegoer age 8 10 , but it 's unlikely to inspire anything more than a visit to mcdonald 's , let alone some savvy street activism",accept able like thin alone lone,37,6
1,"a fascinating examination of the joyous , turbulent self discovery made by a proper , middle aged woman","a fascinate examination of the joyous , turbulent self discovery make by a proper , middle age woman",joyous turbulent proper,18,3
0,"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we ca n't recommend anything but a rental for the tuxedo","the techno tux be good for a few laugh , a be chan and hewitt , but when such a good design turn out to be a cheap knockoff , we ca n't recommend anything but a rental for the tuxedo",good for cheap commend thin,41,5
0,"the result is a gaudy bag of stale candy , something from a halloween that died","the result be a gaudy bag of stale candy , something from a halloween that die",gaudy stale thin hallow allow low,16,6
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie","by get myself wrap up in the visuals and eccentricity of many of the character , i find myself confuse when it come time to get to the heart of the movie",eccentricity,32,1
0,warmed over tarantino by way of wannabe elmore leonard,warm over tarantino by way of wannabe elmore leonard,warm,9,1
